"id","name","nationality","nat_position","nat_kit","club","club_position","club_kit","club_join","contract_expiration","rate","height","weight","pref_foot","birth","age","pref_position"
2407,"Castro","Portugal",,,"Kasimpasa","CAM",8,"07/01/2014",2017,74,"181 cm","75 kg","Right","04/02/1988",28,"CAM/CM"
2408,"Nolan Roux","France",,,"AS Saint-Étienne","Sub",9,"07/21/2015",2018,74,"182 cm","81 kg","Right","03/01/1988",29,"ST"
2409,"Juan Forlin","Argentina",,,"Querétaro","CDM",6,"07/29/2015",2020,74,"176 cm","72 kg","Right","01/10/1988",29,"CB"
2410,"Daine Klate","South Africa","Sub",17,"Free Agents","Res",99,"05/26/2015",2020,74,"169 cm","60 kg","Left","02/25/1985",32,"LM/CAM"
2411,"Ali Çamdali","Turkey",,,"Konyaspor","LDM",8,"06/01/2013",2018,74,"186 cm","75 kg","Right","02/22/1984",33,"CDM"
2412,"Slobodan Rajkovic","Serbia",,,"Palermo","Sub",5,"08/03/2016",2020,74,"191 cm","87 kg","Left","02/03/1989",28,"CB"
2413,"Jesús Molina","Mexico","Sub",23,"Monterrey","RCM",21,"01/01/2017",2018,74,"186 cm","77 kg","Right","03/29/1988",29,"CDM/CM"
2414,"Erwin Mulder","Netherlands",,,"SC Heerenveen","GK",1,"07/11/2015",2017,74,"193 cm","88 kg","Right","03/03/1989",28,"GK"
2415,"Daniel Schwaab","Germany",,,"PSV","Sub",5,"07/11/2016",2019,74,"187 cm","76 kg","Right","08/23/1988",28,"CB/RB"
2416,"Jonny Howson","England",,,"Norwich","LDM",8,"01/24/2012",2019,74,"180 cm","77 kg","Right","05/21/1988",28,"CM/RM"
2417,"Cheikh MBengue","Senegal",,,"AS Saint-Étienne","Sub",12,"07/20/2016",2019,74,"183 cm","80 kg","Left","07/23/1988",28,"LB"
2418,"Víctor Díaz","Spain",,,"CD Leganés","RB",17,"08/18/2015",2017,74,"183 cm","72 kg","Right","06/12/1988",28,"RB/LB"
2419,"Yohan Benalouane","Tunisia",,,"Leicester City","Sub",29,"08/03/2015",2019,74,"185 cm","79 kg","Right","03/28/1987",30,"CB/RB"
2420,"Milan Škoda","Czech Republic","Sub",21,"Free Agents","Res",99,"01/01/2012",2019,75,"190 cm","86 kg","Right","01/16/1986",31,"ST/CF"
2421,"Claudio Beauvue","France",,,"Celta Vigo","Sub",12,"01/17/2016",2021,74,"174 cm","66 kg","Right","04/16/1988",28,"ST/RW"
2422,"Walter Gargano","Uruguay",,,"Monterrey","Sub",5,"07/09/2015",2020,74,"170 cm","64 kg","Right","07/23/1984",32,"CDM/CM"
2423,"Ricardo","Portugal",,,"Chaves","GK",13,"07/01/2014",2017,74,"188 cm","84 kg","Right","07/06/1982",34,"GK"
2424,"Robbie Kruse","Australia","Sub",10,"Free Agents","Res",99,"02/07/2017",2017,72,"179 cm","74 kg","Right","10/05/1988",28,"RM/CF"
2425,"Mitchell Langerak","Australia","Sub",12,"VfB Stuttgart","GK",1,"07/01/2015",2018,74,"193 cm","81 kg","Right","08/22/1988",28,"GK"
2426,"Dale Stephens","England",,,"Brighton","RCM",6,"01/30/2014",2017,74,"185 cm","71 kg","Right","06/12/1989",27,"CM"
2427,"Alexandru Epureanu","Moldova",,,"Medipol Basaksehir","LCB",6,"07/06/2014",2017,74,"189 cm","85 kg","Left","09/27/1986",30,"CB"
2428,"Vassilis Torosidis","Greece","RB",15,"Bologna","Sub",35,"08/31/2016",2018,74,"185 cm","80 kg","Right","06/10/1985",31,"RB/LB"
2429,"Romain Genevois","Haiti",,,"SM Caen","Sub",29,"07/08/2016",2019,74,"182 cm","75 kg","Right","10/28/1987",29,"CB/RB"
2430,"Tomáš Necid","Czech Republic",,,"Legia Warszawa","ST",24,"07/01/2015",2019,74,"191 cm","84 kg","Right","08/13/1989",27,"ST"
2431,"Márcio Azevedo","Brazil",,,"Shakhtar Donetsk","Sub",66,"08/17/2014",2018,74,"173 cm","82 kg","Left","02/05/1986",31,"LB"
2432,"František Rajtoral","Czech Republic",,,"Gaziantepspor","Sub",27,"08/26/2016",2018,74,"179 cm","77 kg","Right","03/12/1986",31,"RB/RM"
2433,"Kengo Nakamura","Japan",,,"Kawasaki Front.","CAM",14,"01/01/2003",2020,74,"175 cm","66 kg","Right","10/31/1980",36,"CM/CDM"
2434,"Szymon Pawlowski","Poland",,,"Lech Poznan","LM",8,"07/01/2013",2019,74,"175 cm","69 kg","Right","11/04/1986",30,"LM"
2435,"Marcel Heller","Germany",,,"SV Darmstadt","LM",20,"07/01/2013",2017,74,"175 cm","70 kg","Right","02/12/1986",31,"LM/RM"
2436,"Gary Hooper","England",,,"Sheffield Wed","Sub",14,"01/22/2016",2019,74,"175 cm","71 kg","Right","01/26/1988",29,"ST"
2437,"Ola Kamara","Norway",,,"Columbus Crew SC","ST",11,"02/04/2016",2020,74,"184 cm","81 kg","Right","10/15/1989",27,"ST"
2438,"Youssouf Mulumbu","DR Congo",,,"Norwich","Sub",18,"07/01/2015",2017,74,"174 cm","76 kg","Right","01/25/1987",30,"CDM/CM"
2439,"Fernando Forestieri","Italy",,,"Sheffield Wed","LM",45,"08/29/2015",2021,74,"172 cm","67 kg","Right","01/15/1990",27,"CF/CAM"
2440,"Bracali","Brazil",,,"Arouca","GK",1,"07/13/2015",2019,74,"185 cm","78 kg","Right","05/05/1981",35,"GK"
2441,"Craig Gardner","England",,,"Birmingham City","RS",12,"07/01/2014",2018,74,"176 cm","81 kg","Right","11/25/1986",30,"CM/RM/CDM"
2442,"Giuseppe Vives","Italy",,,"Vercelli","CDM",11,"01/30/2017",2020,74,"178 cm","70 kg","Right","07/14/1980",36,"CDM/CM"
2443,"Abdou Razack Traoré","Burkina Faso",,,"Karabükspor","CAM",12,"07/02/2014",2017,74,"174 cm","71 kg","Left","12/28/1988",28,"CAM/LM"
2444,"Lee Nguyen","United States",,,"New England","RS",24,"01/01/2012",2018,74,"173 cm","68 kg","Right","10/07/1986",30,"CAM/ST"
2445,"Aykut Demir","Turkey",,,"Osmanlispor","Sub",5,"07/10/2013",2018,74,"180 cm","82 kg","Right","10/22/1988",28,"CB"
2446,"Milan Biševac","Serbia",,,"FC Metz","Sub",4,"08/25/2016",2018,74,"185 cm","81 kg","Right","08/31/1983",33,"CB"
2447,"Modibo Diakité","France",,,"Terni","Sub",33,"01/16/2017",2017,74,"192 cm","88 kg","Right","03/02/1987",30,"CB"
2448,"Mathieu Coutadeur","France",,,"Stade Lavallois","RCM",6,"07/04/2016",2018,74,"170 cm","69 kg","Right","03/20/1986",31,"CM/CDM"
2449,"Mbaye Leye","Senegal",,,"Zulte-Waregem","ST",9,"07/01/2015",2018,74,"182 cm","75 kg","Right","12/01/1982",34,"ST"
2450,"Manuel Iturra","Chile",,,"Necaxa","Sub",16,"07/01/2016",2020,73,"174 cm","73 kg","Left","06/23/1984",32,"CDM/CM"
2451,"Ola Toivonen","Sweden","LS",20,"Toulouse FC","Sub",11,"08/04/2016",2019,74,"192 cm","78 kg","Right","07/03/1986",30,"CAM/ST"
2452,"Jean-Sylvain Babin","France",,,"Sporting Gijón","Sub",3,"08/04/2016",2019,74,"182 cm","84 kg","Right","10/14/1986",30,"CB"
2453,"Änis Ben-Hatira","Tunisia",,,"Gaziantepspor","LM",32,"01/31/2017",2020,74,"183 cm","82 kg","Left","07/18/1988",28,"LM/RM"
2454,"Roberto Ovelar","Paraguay",,,"Junior","ST",9,"07/01/2014",2020,74,"180 cm","81 kg","Right","12/01/1985",31,"ST"
2455,"Duško Tošic","Serbia",,,"Besiktas","LCB",6,"07/01/2015",2019,74,"185 cm","85 kg","Left","01/19/1985",32,"CB/LB"
2456,"Kwoun Sun Tae","Korea Republic",,,"Kashima Antlers","GK",1,"01/30/2017",2023,74,"184 cm","85 kg","Right","09/11/1984",32,"GK"
2457,"Yura Movsisyan","Armenia",,,"Real Salt Lake","ST",14,"01/01/2013",2019,74,"181 cm","81 kg","Right","08/02/1987",29,"ST"
2458,"Oswaldo Vizcarrondo","Venezuela",,,"FC Nantes","Sub",4,"07/15/2013",2018,74,"191 cm","85 kg","Right","05/31/1984",32,"CB"
2459,"Johnny Herrera","Chile","Sub",23,"Uni. de Chile","GK",25,"01/01/2011",2018,74,"184 cm","87 kg","Right","05/09/1981",35,"GK"
2460,"De las Cuevas","Spain",,,"CA Osasuna","Sub",20,"02/01/2016",2018,74,"175 cm","69 kg","Right","06/19/1986",30,"CM/RM/LM"
2461,"Sebastián Leto","Argentina",,,"Panathinaikos","Sub",11,"02/06/2016",2017,74,"188 cm","83 kg","Left","08/30/1986",30,"CAM/CF"
2462,"Glenn Murray","England",,,"Brighton","LS",17,"01/31/2017",2019,74,"185 cm","84 kg","Right","09/25/1983",33,"ST"
2463,"Panagiotis Kone","Greece",,,"Granada CF","Sub",11,"08/13/2014",2019,74,"182 cm","74 kg","Right","07/26/1987",29,"CAM/CF/CDM"
2464,"Varela","Portugal",,,"Kayserispor","LM",18,"01/23/2017",2019,74,"179 cm","79 kg","Right","02/02/1985",32,"LW/LM/RM"
2465,"Mike Jensen","Denmark",,,"Rosenborg BK","RCM",7,"02/01/2013",2021,74,"177 cm","75 kg","Right","02/19/1988",29,"CM"
2466,"Elustondo","Spain",,,"Athletic Bilbao","Sub",3,"07/01/2015",2017,74,"184 cm","79 kg","Right","03/18/1987",30,"CB/CDM"
2467,"James Troisi","Australia","Sub",11,"Melb. Victory","CAM",10,"08/01/2016",2017,74,"180 cm","81 kg","Left","07/03/1988",28,"CAM"
2468,"José María Basanta","Argentina",,,"Monterrey","LCB",15,"06/30/2016",2017,74,"188 cm","78 kg","Left","04/03/1984",32,"CB"
2469,"De la Bella","Spain",,,"Olympiakos CFP","Sub",24,"07/05/2016",2018,74,"182 cm","82 kg","Left","12/02/1985",31,"LB"
2470,"Graham Dorrans","Scotland",,,"Norwich","Sub",4,"05/27/2015",2019,74,"179 cm","78 kg","Right","05/05/1987",29,"CM/CDM"
2471,"Diego Capel","Spain",,,"RSC Anderlecht","Sub",17,"08/04/2016",2018,73,"173 cm","67 kg","Left","02/16/1988",29,"LM/RM"
2472,"Landry Joel NGuemo","Cameroon",,,"Kayserispor","Sub",24,"01/24/2017",2019,74,"173 cm","70 kg","Left","11/28/1985",31,"CDM/CM"
2473,"José Enrique","Spain",,,"Real Zaragoza","LB",19,"09/07/2016",2018,74,"184 cm","76 kg","Left","01/23/1986",31,"LB"
2474,"Stephen Ireland","Republic of Ireland",,,"Stoke City","Res",7,"01/14/2014",2017,74,"173 cm","66 kg","Right","08/22/1986",30,"CAM/CM"
2475,"Felix Bastians","Germany",,,"VfL Bochum","LCB",5,"01/01/2015",2020,74,"188 cm","83 kg","Left","05/09/1988",28,"CB/LB"
2476,"Micah Richards","England",,,"Aston Villa","Sub",4,"07/01/2015",2019,74,"180 cm","83 kg","Right","06/24/1988",28,"CB/RB"
2477,"Charlie Daniels","England",,,"Bournemouth","LB",11,"01/01/2012",2019,74,"178 cm","75 kg","Left","09/07/1986",30,"LB"
2478,"Victor Anichebe","Nigeria",,,"Sunderland","Sub",28,"09/02/2016",2017,74,"185 cm","80 kg","Right","04/23/1988",28,"ST"
2479,"Barragán","Spain",,,"Middlesbrough","RB",17,"07/19/2016",2018,74,"183 cm","76 kg","Right","06/12/1987",29,"RB/RM"
2480,"Sergio Floccari","Italy",,,"Spal","RS",10,"01/19/2017",2018,74,"180 cm","79 kg","Right","11/12/1981",35,"ST"
2481,"Serge Gakpé","Togo",,,"Chievo Verona","Sub",7,"07/01/2015",2018,74,"177 cm","79 kg","Right","05/07/1987",29,"RM/ST"
2482,"Taiseer Al Jassam","Saudi Arabia",,,"Al Ahli","LDM",8,"06/30/2001",2017,74,"168 cm","67 kg","Right","07/25/1984",32,"CDM/CM"
2483,"Boukary Dramé","Senegal",,,"Atalanta","Sub",93,"07/01/2014",2017,74,"181 cm","74 kg","Left","07/22/1985",31,"LB/LM"
2484,"Zdravko Kuzmanovic","Serbia",,,"Málaga CF","Res",22,"07/01/2015",2020,74,"186 cm","80 kg","Right","09/22/1987",29,"CM/CDM"
2485,"Zeca","Greece","Sub",8,"Panathinaikos","RDM",10,"07/01/2011",2019,74,"180 cm","68 kg","Right","08/31/1988",28,"CDM/RM"
2486,"Morgan Amalfitano","France",,,"Stade Rennais","RM",18,"02/01/2017",2019,74,"176 cm","68 kg","Right","03/20/1985",32,"CM/RM/LM"
2487,"Jesús Méndez","Argentina",,,"Toluca","RCM",25,"09/10/2016",2018,74,"178 cm","77 kg","Right","08/01/1984",32,"CM/CDM"
2488,"Andrey Sinitsyn","Russia",,,"FC Krasnodar","Sub",88,"07/02/2012",2017,74,"196 cm","86 kg","Right","06/23/1988",28,"GK"
2489,"Marc Wilson","Republic of Ireland",,,"West Brom","Sub",12,"08/16/2016",2018,74,"188 cm","80 kg","Right","08/17/1987",29,"CB/LB"
2490,"Hakan Balta","Turkey",,,"Galatasaray","LCB",22,"09/03/2007",2018,74,"184 cm","80 kg","Left","03/23/1983",34,"CB/LB"
2491,"Evandro","Brazil",,,"Hull City","Sub",40,"01/13/2017",2019,74,"179 cm","72 kg","Right","08/23/1986",30,"CM/CAM"
2492,"Leonardo Ulloa","Argentina",,,"Leicester City","Sub",23,"07/22/2014",2018,74,"185 cm","75 kg","Right","07/26/1986",30,"ST"
2493,"Cássio","Brazil",,,"Rio Ave","GK",1,"07/01/2014",2018,74,"186 cm","79 kg","Right","08/12/1980",36,"GK"
2494,"Joe Ledley","Wales","RCM",16,"Crystal Palace","Sub",16,"01/31/2014",2017,74,"183 cm","73 kg","Left","01/23/1987",30,"CDM/CM"
2495,"Brad Guzan","United States","Sub",12,"Middlesbrough","Sub",12,"07/29/2016",2018,74,"193 cm","95 kg","Left","09/09/1984",32,"GK"
2496,"Nedum Onuoha","England",,,"QPR","RCB",5,"01/01/2012",2018,74,"188 cm","78 kg","Right","11/12/1986",30,"CB/RB"
2497,"Jérémy Clément","France",,,"AS Saint-Étienne","Sub",6,"07/25/2011",2018,74,"180 cm","77 kg","Left","08/26/1984",32,"CDM/CM"
2498,"Richard Keogh","Republic of Ireland","Sub",5,"Derby County","RCB",6,"07/19/2012",2019,74,"188 cm","87 kg","Right","08/11/1986",30,"CB"
2499,"Russell Martin","Scotland","RCB",4,"Norwich","RCB",5,"01/04/2010",2018,74,"185 cm","85 kg","Right","01/04/1986",31,"CB/RB"
2500,"Daniele Padelli","Italy",,,"Torino","Sub",1,"07/01/2013",2017,74,"191 cm","82 kg","Left","10/25/1985",31,"GK"
2501,"Alexander Baumjohann","Germany",,,"Hertha BSC","Sub",9,"07/01/2013",2017,74,"178 cm","75 kg","Right","01/23/1987",30,"CAM/LM"
2502,"David Ousted","Denmark",,,"Whitecaps FC","GK",1,"06/26/2013",2022,74,"192 cm","88 kg","Right","02/01/1985",32,"GK"
2503,"Abdoulay Konko","France",,,"Atalanta","Sub",25,"08/19/2016",2017,74,"182 cm","77 kg","Right","03/09/1984",33,"RB/RM"
2504,"Élton","Brazil",,,"Al Qadisiyah","RM",77,"01/04/2017",2018,74,"159 cm","59 kg","Left","04/07/1986",30,"CAM/ST"
2505,"Andrés Pérez","Colombia",,,"Deportivo Cali","RDM",5,"01/01/2009",2017,74,"180 cm","75 kg","Right","09/05/1980",36,"CDM"
2506,"Oriol Riera","Spain",,,"CA Osasuna","Sub",9,"07/01/2015",2017,74,"186 cm","76 kg","Right","07/03/1986",30,"ST"
2507,"Damien Delaney","Republic of Ireland",,,"Crystal Palace","Sub",27,"08/01/2012",2017,74,"191 cm","89 kg","Left","07/20/1981",35,"CB"
2508,"Alaixys Romao","Togo",,,"Olympiakos CFP","RCM",4,"08/31/2016",2022,74,"180 cm","74 kg","Right","01/18/1984",33,"CDM/CM"
2509,"Cristian Campestrini","Argentina",,,"Puebla","GK",17,"06/19/2015",2022,74,"182 cm","82 kg","Right","06/16/1980",36,"GK"
2510,"Besart Berisha","Kosovo",,,"Melb. Victory","ST",8,"05/18/2014",2018,74,"185 cm","80 kg","Right","07/29/1985",31,"ST"
2511,"Ricardo","Cape Verde",,,"Paços Ferreira","Sub",19,"01/01/2012",2018,74,"186 cm","78 kg","Right","08/19/1980",36,"CB"
2512,"Ashkan Dejagah","Iran",,,"VfL Wolfsburg","Sub",25,"01/30/2017",2017,74,"181 cm","78 kg","Right","07/05/1986",30,"RM/LM"
2513,"Sylvain Marveaux","France",,,"FC Lorient","Sub",10,"07/30/2016",2017,74,"172 cm","66 kg","Left","04/15/1986",30,"CAM/ST"
2514,"Toché","Spain",,,"Real Oviedo","ST",9,"07/30/2015",2018,74,"185 cm","78 kg","Right","01/01/1983",34,"ST"
2515,"Yoan Gouffran","France",,,"Newcastle Utd","LM",20,"01/23/2013",2017,74,"176 cm","76 kg","Right","05/25/1986",30,"LM/RM"
2516,"Moisés Muñoz","Mexico",,,"Chiapas","GK",23,"01/01/2011",2019,74,"185 cm","84 kg","Right","02/01/1980",37,"GK"
2517,"Ross McCormack","Scotland",,,"Nottm Forest","Sub",50,"08/04/2016",2020,74,"175 cm","74 kg","Right","08/18/1986",30,"ST/CAM"
2518,"Shin Hwa Yong","Korea Republic",,,"Suwon Bluewings","Sub",1,"01/11/2017",2018,74,"183 cm","78 kg","Right","04/13/1983",33,"GK"
2519,"Juan Martínez","Argentina",,,"Vélez Sarsfield","RS",7,"01/31/2017",2018,74,"177 cm","72 kg","Right","10/25/1985",31,"ST/RM"
2520,"Edgar Barreto","Paraguay",,,"Sampdoria","RCM",8,"07/01/2015",2018,74,"182 cm","78 kg","Right","07/15/1984",32,"CM/CDM"
2521,"José Sand","Argentina",,,"Lanús","ST",9,"01/13/2016",2017,74,"182 cm","79 kg","Right","07/17/1980",36,"ST"
2522,"Bobô","Brazil",,,"Sydney FC","ST",9,"08/22/2016",2017,74,"186 cm","85 kg","Right","01/09/1985",32,"ST"
2523,"Alexander Tettey","Norway",,,"Norwich","RDM",27,"08/25/2012",2018,74,"180 cm","68 kg","Right","04/04/1986",30,"CDM"
2524,"Henri Bedimo","Cameroon",,,"Olym. Marseille","Sub",12,"06/23/2016",2019,74,"180 cm","80 kg","Left","06/04/1984",32,"LB"
2525,"Romain Salin","France",,,"EA Guingamp","Sub",30,"07/30/2016",2017,74,"185 cm","78 kg","Left","07/29/1984",32,"GK"
2526,"Sergio Pellissier","Italy",,,"Chievo Verona","Sub",31,"07/01/2002",2018,74,"175 cm","76 kg","Right","04/12/1979",37,"ST"
2527,"Oleg Kuzmin","Russia",,,"Rubin Kazan","Sub",2,"08/01/2010",2017,74,"175 cm","72 kg","Right","05/09/1981",35,"RB"
2528,"Miguel Flaño","Spain",,,"CA Osasuna","Sub",4,"09/01/2004",2018,74,"177 cm","70 kg","Right","08/19/1984",32,"CB"
2529,"Tito","Spain",,,"CD Leganés","Sub",2,"07/01/2016",2018,74,"174 cm","67 kg","Right","07/11/1985",31,"RB/CB/RWB"
2530,"Eren Albayrak","Turkey",,,"Medipol Basaksehir","Sub",11,"06/15/2016",2019,74,"179 cm","69 kg","Left","04/23/1991",25,"LB/LM"
2531,"Serkan Kirintili","Turkey",,,"Konyaspor","GK",30,"07/06/2015",2017,74,"185 cm","78 kg","Right","02/15/1985",32,"GK"
2532,"Muhammet Demir","Turkey",,,"Gaziantepspor","Sub",18,"01/23/2016",2019,74,"175 cm","69 kg","Right","01/10/1992",25,"ST/CAM"
2533,"Luciano Pocrnjic","Argentina",,,"Newells","GK",1,"01/05/2015",2019,74,"190 cm","86 kg","Right","08/04/1981",35,"GK"
2534,"Tolga Zengin","Turkey",,,"Besiktas","Sub",29,"08/01/2013",2019,74,"192 cm","90 kg","Right","10/10/1983",33,"GK"
2535,"Leandro Desábato","Argentina",,,"Estudiantes","LCB",2,"07/01/2007",2017,74,"187 cm","87 kg","Left","01/24/1979",38,"CB"
2536,"Pierre Webó","Cameroon",,,"Osmanlispor","Sub",9,"07/24/2015",2017,74,"181 cm","81 kg","Right","01/20/1982",35,"ST"
2537,"Daniel Díaz","Argentina",,,"Getafe CF","RCB",6,"08/01/2016",2017,74,"183 cm","77 kg","Right","07/13/1979",37,"CB/RB"
2538,"Alejandro Palacios","Mexico",,,"U.N.A.M.","GK",1,"07/01/2008",2021,74,"183 cm","68 kg","Right","03/06/1981",36,"GK"
2539,"Paulo Da Silva","Paraguay","LCB",14,"Toluca","LCB",4,"07/01/2013",2018,74,"180 cm","76 kg","Right","02/01/1980",37,"CB"
2540,"Lucian Sânmartean","Romania",,,"Al Taawoun","CM",29,"01/13/2017",2017,74,"176 cm","70 kg","Right","03/13/1980",37,"CM/LW"
2541,"Jérémy Morel","France",,,"Olym. Lyonnais","LB",15,"07/01/2015",2018,74,"172 cm","71 kg","Left","04/02/1984",32,"LB/CB"
2542,"Carl Medjani","Algeria",,,"Trabzonspor","LCB",6,"01/11/2017",2018,74,"184 cm","77 kg","Right","05/15/1985",31,"CB/CDM"
2543,"Domenico Maietta","Italy",,,"Bologna","LCB",20,"07/22/2014",2018,74,"184 cm","75 kg","Right","08/03/1982",34,"CB"
2544,"Goran Pandev","FYR Macedonia",,,"Genoa","Sub",27,"07/07/2015",2017,74,"184 cm","75 kg","Left","07/27/1983",33,"ST/CAM"
2545,"Daniele Croce","Italy",,,"Empoli","LCM",11,"07/03/2012",2017,74,"175 cm","68 kg","Right","09/09/1982",34,"CM"
2546,"Mattia Cassani","Italy",,,"Bari","Sub",6,"07/26/2016",2018,74,"184 cm","75 kg","Right","08/26/1983",33,"LB/RB"
2547,"Massimo Gobbi","Italy",,,"Chievo Verona","LB",18,"07/03/2015",2017,74,"182 cm","76 kg","Left","10/31/1980",36,"LB/LM"
2548,"Simon Francis","England",,,"Bournemouth","RCB",2,"01/01/2012",2019,74,"191 cm","90 kg","Right","02/16/1985",32,"CB/RB"
2549,"Roberto Hilbert","Germany",,,"Bayer 04","Res",13,"07/12/2013",2017,74,"183 cm","80 kg","Right","10/16/1984",32,"RB"
2550,"Scott Brown","Scotland","RDM",8,"Celtic","RDM",8,"05/29/2007",2018,74,"175 cm","74 kg","Right","06/25/1985",31,"CDM"
2551,"Jermaine Pennant","England",,,"Bury","Sub",38,"01/19/2017",2017,74,"173 cm","68 kg","Right","01/15/1983",34,"RM/RW"
2552,"Jermaine Jones","United States","LCM",13,"LA Galaxy","LDM",13,"01/18/2017",2023,74,"184 cm","78 kg","Right","11/03/1981",35,"CM/CDM"
2553,"Renaud Cohade","France",,,"FC Metz","CAM",24,"07/07/2016",2019,74,"180 cm","74 kg","Right","09/29/1984",32,"CM"
2554,"Franck Béria","France",,,"LOSC Lille","LB",18,"01/01/2007",2018,74,"177 cm","76 kg","Right","05/23/1983",33,"LB/RB"
2555,"Steeve Elana","France",,,"GFC Ajaccio","GK",30,"06/24/2016",2018,74,"187 cm","85 kg","Right","07/11/1980",36,"GK"
2556,"Cani","Spain",,,"Real Zaragoza","CAM",8,"07/02/2016",2018,74,"180 cm","75 kg","Right","08/03/1981",35,"CAM/RM"
2557,"Yohann Pelé","France",,,"Olym. Marseille","GK",16,"07/11/2015",2018,74,"196 cm","89 kg","Right","11/04/1982",34,"GK"
2558,"Cesare Bovo","Italy",,,"Pescara","Sub",83,"01/08/2017",2017,74,"181 cm","79 kg","Right","01/14/1983",34,"CB"
2559,"Simone Pepe","Italy",,,"Pescara","Sub",21,"08/23/2016",2017,74,"175 cm","79 kg","Right","08/30/1983",33,"RM/LM"
2560,"Simone Padoin","Italy",,,"Cagliari","LCM",20,"07/02/2016",2019,74,"179 cm","73 kg","Right","03/18/1984",33,"CM/LB"
2561,"Rob Green","England",,,"Leeds United","GK",1,"07/06/2016",2017,74,"191 cm","93 kg","Right","01/18/1980",37,"GK"
2562,"Clemens Fritz","Germany",,,"Werder Bremen","Sub",8,"07/01/2006",2017,74,"183 cm","81 kg","Right","12/07/1980",36,"CM/CDM"
2563,"Jérémie Aliadiere","France",,,"FC Lorient","Sub",14,"09/20/2016",2017,74,"183 cm","70 kg","Right","03/30/1983",34,"ST"
2564,"Sébastien Squillaci","France",,,"SC Bastia","Res",5,"07/18/2013",2017,74,"185 cm","80 kg","Right","08/11/1980",36,"CB"
2565,"Shaun Maloney","Scotland","Sub",15,"Hull City","Sub",15,"08/27/2015",2017,74,"170 cm","69 kg","Right","01/24/1983",34,"CAM/LM"
2566,"Fabricio Coloccini","Argentina",,,"San Lorenzo","Sub",32,"07/06/2016",2018,74,"184 cm","83 kg","Right","01/22/1982",35,"CB"
2567,"Aliaksandr Hleb","Belarus",,,"Krylya Sovetov","Sub",11,"02/15/2017",2017,74,"185 cm","73 kg","Right","05/01/1981",35,"CAM/LW"
2568,"Sylvain Armand","France",,,"Stade Rennais","Sub",22,"07/01/2013",2017,74,"182 cm","82 kg","Left","08/01/1980",36,"CB"
2569,"Antonio Floro Flores","Italy",,,"Bari","LW",33,"07/01/2016",2018,74,"183 cm","78 kg","Right","06/18/1983",33,"ST/LW"
2570,"Andreas Johansson","Sweden",,,"IFK Norrköping","RCB",4,"01/01/2012",2018,74,"184 cm","72 kg","Right","03/10/1982",35,"CB"
2571,"Ricardo Costa","Portugal",,,"FC Luzern","RCB",20,"07/08/2016",2018,74,"183 cm","80 kg","Right","05/16/1981",35,"CB"
2572,"Nicolas Penneteau","France",,,"Sp. Charleroi","GK",1,"08/07/2014",2017,74,"185 cm","78 kg","Left","02/28/1981",36,"GK"
2573,"Timmy Simons","Belgium",,,"Club Brugge","LCM",3,"07/01/2013",2017,74,"186 cm","80 kg","Right","12/11/1976",40,"CDM/CB"
2574,"John OShea","Republic of Ireland","Sub",4,"Sunderland","LCB",16,"07/01/2011",2017,74,"190 cm","84 kg","Right","04/30/1981",35,"CB"
2575,"Tarantini","Portugal",,,"Rio Ave","RCM",8,"07/01/2008",2023,74,"188 cm","78 kg","Right","10/07/1983",33,"CM"
2576,"Lukáš Pokorný","Czech Republic",,,"Montpellier HSC","LCB",12,"01/23/2017",2020,73,"190 cm","86 kg","Left","07/05/1993",23,"CB"
2577,"Gastón Guruceaga","Uruguay","Sub",23,"Free Agents","Res",99,"01/01/2016",2020,73,"189 cm","86 kg","Right","03/15/1995",22,"GK"
2578,"Lindsay Rose","France",,,"SC Bastia","RCB",17,"06/30/2016",2020,73,"184 cm","80 kg","Right","02/08/1992",25,"CB/RB"
2579,"Aarón Martín","Spain",,,"RCD Espanyol","LB",12,"07/01/2015",2022,73,"180 cm","72 kg","Left","04/22/1997",19,"LB"
2580,"Darko Brasanac","Serbia",,,"Real Betis","RM",22,"08/24/2016",2020,73,"178 cm","72 kg","Right","02/12/1992",25,"CM/RM"
2581,"Pedrinho","Portugal",,,"Paços Ferreira","CM",12,"07/16/2016",2020,73,"170 cm","68 kg","Right","12/20/1992",24,"CM/CAM/RM"
2582,"Konstantinos Laifis","Cyprus",,,"Standard Liège","Sub",34,"07/01/2016",2018,73,"187 cm","77 kg","Left","05/19/1993",23,"CB/LM"
2583,"Yu Kobayashi","Japan",,,"Kawasaki Front.","ST",11,"01/01/2010",2020,73,"177 cm","72 kg","Right","09/23/1987",29,"ST/LM"
2584,"Fernando Zampedri","Argentina",,,"Atlético Tucumán","LS",9,"01/04/2016",2019,73,"185 cm","83 kg","Right","02/14/1988",29,"ST"
2585,"Tsukasa Shiotani","Japan",,,"Sanfrecce Hiroshima","RCB",33,"08/06/2012",2020,73,"182 cm","78 kg","Right","12/05/1988",28,"CB"
2586,"Masaaki Higashiguchi","Japan",,,"Gamba Osaka","GK",1,"01/01/2014",2020,73,"184 cm","78 kg","Right","05/12/1986",30,"GK"
2587,"Çaglar Söyüncü","Turkey",,,"SC Freiburg","LCB",4,"07/01/2016",2021,73,"187 cm","84 kg","Right","05/23/1996",20,"CB"
